name,role,batting,bowling,keeping,basePrice,imageUrl
Anrich Nortje,bowler,5,87,0,20000000,/player-images/AnrichNortje.png
Pat Cummins,bowler,15,87,0,20000000,/player-images/PatCummins.png
Mujeeb Ur Rahman,bowler,5,86,0,20000000,/player-images/MujeebUrRahman.png
Lockie Ferguson,bowler,10,86,0,20000000,/player-images/LockieFerguson.png
Adam Zampa,bowler,5,86,0,20000000,/player-images/AdamZampa.png
Noor Ahmad,bowler,0,85,0,20000000,/player-images/NoorAhmad.png
Maheesh Theekshana,bowler,5,85,0,20000000,/player-images/MaheeshTheekshana.png
Adil Rashid,bowler,10,85,0,10000000,/player-images/AdilRashid.png
Abhishek Sharma,allrounder,69,45,0,20000000,/player-images/AbhishekSharma.png
Ravindra Jadeja,allrounder,55,65,0,20000000,/player-images/RavindraJadeja.png
Ravichandran Ashwin,allrounder,45,63,0,10000000,/player-images/RavichandranAshwin.png
Axar Patel,allrounder,51,61,0,10000000,/player-images/AxarPatel.png
Hardik Pandya,allrounder,58,60,0,5000000,/player-images/HardikPandya.png
Shivam Dube,allrounder,57,50,0,5000000,/player-images/ShivamDube.png
Washington Sundar,allrounder,48,59,0,5000000,/player-images/WashingtonSundar.png
Venkatesh Iyer,allrounder,55,40,0,5000000,/player-images/VenkateshIyer.png
Shardul Thakur,allrounder,48,57,0,2000000,/player-images/ShardulThakur.png
Shahbaz Ahmed,allrounder,47,57,0,2000000,/player-images/ShahbazAhmed.png
Riyan Parag,allrounder,53,45,0,2000000,/player-images/RiyanParag.png
Vijay Shankar,allrounder,49,47,0,2000000,/player-images/VijayShankar.png
Lalit Yadav,allrounder,47,45,0,2000000,/player-images/LalitYadav.png
Rashid Khan,allrounder,43,70,0,20000000,/player-images/RashidKhan.png
Wanindu Hasaranga,allrounder,53,67,0,20000000,/player-images/WaninduHasaranga.png
Sunil Narine,allrounder,48,67,0,20000000,/player-images/SunilNarine.png
Glenn Maxwell,allrounder,61,55,0,10000000,/player-images/GlennMaxwell.png
Andre Russell,allrounder,59,63,0,10000000,/player-images/AndreRussell.png
Ben Stokes,allrounder,59,59,0,10000000,/player-images/BenStokes.png
Marco Jansen,allrounder,51,61,0,10000000,/player-images/MarcoJansen.png
Mitchell Santner,allrounder,48,60,0,5000000,/player-images/MitchellSantner.png
Jason Holder,allrounder,51,60,0,5000000,/player-images/JasonHolder.png
Mitchell Marsh,allrounder,58,57,0,5000000,/player-images/MitchellMarsh.png
Sam Curran,allrounder,55,60,0,5000000,/player-images/SamCurran.png
Rachin Ravindra,allrounder,57,53,0,5000000,/player-images/RachinRavindra.png
Marcus Stoinis,allrounder,57,55,0,5000000,/player-images/MarcusStoinis.png
Moeen Ali,allrounder,53,53,0,2000000,/player-images/MoeenAli.png
Dasun Shanaka,allrounder,51,50,0,2000000,/player-images/DasunShanaka.png
Rishabh Pant,keeper,86,5,27,2000000,/player-images/RishabhPant.png
Sanju Samson,keeper,85,5,24,2000000,/player-images/SanjuSamson.png
Anuj Rawat,keeper,78,5,25,2000000,/player-images/AnujRawat.png
KS Bharat,keeper,75,5,23,2000000,/player-images/KSBharat.png
KL Rahul,keeper,88,5,26,2000000,/player-images/KLRahul.png
Ishan Kishan,keeper,84,5,27,2000000,/player-images/IshanKishan.png
Dinesh Karthik,keeper,80,5,23,2000000,/player-images/DineshKarthik.png
M.S Dhoni,keeper,86,5,29,10000000,/player-images/M.SDhoni.png
Rahmanullah Gurbaz,keeper,84,5,22,2000000,/player-images/RahmanullahGurbaz.png
Quinton de Kock,keeper,88,5,23,2000000,/player-images/QuintondeKock.png
Josh Inglis,keeper,80,5,26,2000000,/player-images/JoshInglis.png
Jos Buttler,keeper,92,5,28,2000000,/player-images/JosButtler.png
Jonny Bairstow,keeper,85,5,23,2000000,/player-images/JonnyBairstow.png
Devon Conway,keeper,88,5,23,2000000,/player-images/DevonConway.png
Nicholas Pooran,keeper,89,5,23,2000000,/player-images/NicholasPooran.png
